"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"LY1021007514",0.7075,0.45416666666666666,0.7450000000000001,0.6683333333333333,2,5,98,314,"Femme",26,"Libye","Autre","No","Yes","No","No","No","No","KND"
"LY1021007541",0.545,0.39,0.5275,0.44750000000000006,3,5,126,252,"Femme",25,"Libye","Autre","Yes","Yes","No","No","Yes","No","KND"
"LY1021007767",0.17750000000000002,0.2783333333333333,0.6900000000000001,0.4041666666666667,2,5,127,218,"Homme",35,"Libye","Autre","No","Yes","No","No","Yes","No","KND"
"LY1021007775",0.17750000000000002,0.33666666666666667,0.76,0.4308333333333333,1,5,70,291,"Homme",42,"Libye","Autre","No","Yes","No","No","Yes","No","KND"
"LY1021007803",0.54,0.5800000000000001,0.8825000000000001,0.675,3,5,195,135,"Homme",34,"Libye","Autre","No","Yes","No","No","No","No","KND"
"LY1021008004",0.7925,0.7133333333333335,0.745,0.7616666666666668,6,23,307,83,"Femme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008010",0.7675,0.7616666666666667,0.8125,0.7933333333333336,3,5,251,118,"Homme",33,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008014",0.7175,0.655,0.8325,0.7750000000000002,3,1,313,66,"Homme",53,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008023",0.8325,0.7833333333333333,0.85,0.8541666666666666,2,5,121.5,174.5,"Homme",26,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008027",0.8674999999999999,0.7466666666666666,0.7825000000000001,0.8158333333333334,2,5,321,48,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008057",0.8724999999999999,0.78,0.81,0.8550000000000001,2,5,121.5,174.5,"Homme",21,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008064",0.705,0.6841666666666666,0.7949999999999999,0.7558333333333335,2,5,248,129,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008066",0.9275,0.6316666666666666,0.8200000000000001,0.7758333333333335,2,5,233,124,"Homme",24,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008068",0.5175,0.6858333333333333,0.85,0.7091666666666667,2,5,294,63,"Homme",45,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008069",0.825,0.7158333333333334,0.8625,0.8241666666666668,2,5,338,40,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008072",0.895,0.6933333333333332,0.92,0.8516666666666669,2,5,245,124,"Homme",35,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008084",0.9425,0.8441666666666667,0.95,0.9208333333333335,3,5,76,319,"Homme",35,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008097",0.8899999999999999,0.6483333333333333,0.97,0.8516666666666669,13,5,310,48,"Homme",47,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008098",0.675,0.59,0.7949999999999999,0.7125000000000001,3,1,234,144,"Homme",30,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008100",0.6025,0.6008333333333334,0.7325000000000002,0.6591666666666667,4,5,233,124,"Homme",45,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008102",0.8125,0.625,0.7949999999999999,0.7550000000000002,2,1,297,81,"Homme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008105",0.8899999999999999,0.7266666666666666,0.8574999999999999,0.8133333333333336,5,1,315,43,"Homme",27,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008115",0.78,0.7450000000000001,0.7949999999999999,0.7800000000000001,4,5,296,81,"Femme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008166",0.8875,0.7266666666666666,0.7925,0.7983333333333335,3,1,321,39,"Homme",28,"Libye","Autre","No","Yes","Yes","No","No","Yes","KND"
"LY1021008173",0.8724999999999999,0.7466666666666666,0.8425,0.8408333333333334,10,3,252,141,"Homme",47,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008174",0.97,0.8133333333333334,0.9749999999999999,0.9166666666666669,2,5,295,60,"Homme",28,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008176",0.845,0.555,0.735,0.7375000000000002,2,1,245,144,"Homme",37,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008185",0.8475,0.7733333333333333,0.8700000000000001,0.8391666666666667,0,5,294,64,"Homme",45,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008188",0.9425,0.78,0.905,0.8950000000000001,0,1,294,101,"Homme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008193",0.8225,0.7766666666666666,0.7275,0.7783333333333333,2,5,290,68,"Homme",36,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008199",0.6275,0.645,0.6325,0.6300000000000001,3,5,294,62,"Homme",34,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008202",0.795,0.6333333333333334,0.8,0.7416666666666669,0,5,290,66,"Homme",34,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008206",0.8674999999999999,0.6816666666666666,0.7575000000000002,0.7833333333333334,2,5,260,98,"Homme",34,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008211",0.8574999999999999,0.78,0.845,0.8650000000000001,2,5,311,47,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008217",0.8899999999999999,0.7733333333333333,0.8075000000000001,0.8441666666666667,3,5,240,118,"Homme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008229",0.8899999999999999,0.7208333333333333,0.8574999999999999,0.8516666666666669,3,5,339,18,"Homme",27,"Libye","Autre","No","Yes","Yes","No","No","Yes","KND"
