ID_1,InterviewDate,InterviewType,BusinessSucess,BusinessProfitability,WouldMigrateAgain,SituationWithoutSupport,ReturningWasGoodDecision,SatisfiedWithReintegrationSupport,Country,CountryOfReturn,Gender,AgeGroup,MigrationDuration,Disabled,ReceivedSupportAs,BusinessType,BusinessMembers,ReceivedIOMBusinessAdvice,BusinessHasEmployees,EmployeeNumber,CoronaImpactOnBusiness,FirstChoice,MicroBusinessLevel,TrainingType,TrainingDuration,DateOfReturn,ReintegrationDate,Gender_Mimosa,AgeAtReferral_Mimosa,ReturnToReintegration
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Male,4,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Female,11,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Female,2,66
LY1019005427,2022-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Pas satisfait,Sénégal,Lybie,Féminin,36-65 ans,7,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,2021-11-09T00:00:00Z,2022-12-31T00:00:00Z,Male,2,417
LY1019005427,2022-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Pas satisfait,Sénégal,Lybie,Féminin,36-65 ans,7,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2021-11-09T00:00:00Z,2022-03-30T00:00:00Z,Female,42,141
LY1019005427,2022-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Pas satisfait,Sénégal,Lybie,Féminin,36-65 ans,7,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,2021-11-09T00:00:00Z,2022-02-10T00:00:00Z,Female,9,93
NA,2022-06-22,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Non,Non,Identique,Partiellement,OK,Burkina Faso,Maroc,Masculin,18-35 ans,3,Non,En espèces,Elevage,Moi uniquement,Oui,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-22,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Souhaite ne pas répondre,Oui,Satisfait,Burkina Faso,Lybie,Masculin,18-35 ans,NA,Non,En espèces,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-23,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Non,Non,Pire,Oui,Très satisfait,Burkina Faso,Lybie,Masculin,18-35 ans,3,Non,En espèces,Elevage,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-29,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Niger,Masculin,36-65 ans,1,Non,En nature,Artisan-Ouvrier,Moi et membres de la communauté,Non,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-04,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Guinée,Algerie,Masculin,18-35 ans,0,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
