"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","VOTs","UMINOR","HealthCondition","CounsellingStatus","EconomicSupport","FinancialServices","JobPlacement","Microbusiness","Training","SocialSupport","ChildCare","Education","Housing","LegalServices","MaterialAssistance","MedicalSupport","SocialProtectionSchemes","PsychosocialSupport","Microbusinesslevel","MicrobusinessDeliveredBy","MicrobusinessFormOfAssistance"
"DZ10222FFB2DD3D59A",0.6649999999999999,0.5091666666666667,0.76,0.6458333333333334,"5",NA,134,171.95833333333334,"Homme","28","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","KND"
"DZ10225978988608AC",0.48750000000000004,0.39666666666666667,0.7675000000000001,0.5733333333333334,"1",5,16,187.95833333333334,"Femme","26","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"DZ102268A01A812AFD",0.8,0.6766666666666667,0.7775000000000001,0.7458333333333333,"6",5,30,187.95833333333334,"Homme","26","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"DZ10228DB2795F83B1",0.8724999999999999,0.55,0.8899999999999999,0.7875000000000002,"9",NA,23,213.95833333333334,"Homme","33","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Individual","IOM Direct Assistance","KND"
"DZ1022C55CB288F741",0.46499999999999997,0.5066666666666667,0.7475000000000002,0.5908333333333333,"8",NA,110,169.95833333333334,"Homme","22","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","KND"
"DZ1022C5E07B09FE91",0.5825,0.5266666666666667,0.8875,0.6833333333333333,"4",NA,76,229.95833333333334,"Homme","46","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"ET1022001671",0.7949999999999999,0.5391666666666666,0.6075,0.6733333333333335,"0",NA,144,97.91666666666667,"Homme","26","Niger","Cameroun","No","No","No","Completed","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","CAS"
"GM1021001372",0.595,0.35749999999999993,0.7474999999999999,0.5425,"0",3,129,243.95833333333334,"Homme","25","Gambie","Guinee Conakry","No","No","No","Not Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"GM1021001373",0.6275,0.55,0.8799999999999999,0.7500000000000001,"4",NA,35,381.9583333333333,"Homme","34","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","KND"
"GM1021001400",0.55,0.5466666666666666,0.9999999999999999,0.7533333333333334,"5",NA,110,310.9583333333333,"Homme","31","Sweden","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance",NA
