"","Code Mimosa Corrigé","Economic reintegration Score","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","EconomicScore","Difference"
"31","LY1021008623",0.7825,"Très satisfait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Jamais","Les dépenses sont plus importantes","Bien","Oui","Bâtiments et structures véhicules Actifs reçus de l'OIM","Non",1,0.75,1,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.09,0.06,0.08,0.02,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.9375,0.155
"32","LY1021009101",0.5225,"Satisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Bétails Actifs reçus de l'OIM","Oui",0.75,0,1,0.75,1,0.5,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0,0,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0,0,0.5225,0
"33","LY1021009682",0.8725,"Satisafait","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Oui","Bétails Actifs reçus de l'OIM","Oui",0.75,1,1,0.75,1,0.25,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.12,0.08,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.71,-0.1625
"34","LY1021010679",0.6925,"Satisafait","Jamais","Non","Jamais","Les dépenses sont plus importantes","Bien","Oui","Actifs reçus de l'OIM","Oui",0.75,1,0,1,1,0.75,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.72,0.0275
"35","LY1022001225",0.6875,"Neutre","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Jamais","Les dépenses sont plus importantes","Faible","Non","Actifs reçus de l'OIM","Non",0.5,0,0,1,1,0.25,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0,0,0,0,0.1,0.02,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0.13,0.03,0.5275,-0.16
"36","Ly1022001512",0.51,"Satisafait","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","La dette est plus grande","Bien","Oui","Bétails Actifs reçus de l'OIM","Oui",0.75,1,1,0.75,0,0.75,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.12,0.08,0.08,0.02,0.075,0.015,0,0,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.695,0.185
"37","LY1022002124",0.48,"Insatisfait","Jamais","Non","Jamais","Les dépenses sont plus importantes","Faible","Non","Terre Actifs reçus de l'OIM","Oui",0.25,1,0,1,1,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0,0,0.48,0
"38","LY1022002133",0.655,"Insatisfait","Souvent( au moins une fois la semaine)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Terre Actifs reçus de l'OIM","Oui",0.25,0.25,0,0.75,1,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.03,0.02,0,0,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0,0,0.365,-0.29
"39","LY1022002233",0.705,"Insatisfait","Jamais","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Non","Actifs reçus de l'OIM","Oui",0.25,1,0,0.75,1,0.75,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.12,0.08,0,0,0.075,0.015,0.08,0.04,0.0975,0.0225,0,0,0.11,0.03,0,0,0.52,-0.185
"40","LY1022002301",0.7675,"Neutre","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Jamais","La dette est plus grande","Faible","Non","Actifs reçus de l'OIM","Oui",0.5,0,0,1,0,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0,0,0,0,0.1,0.02,0,0,0.0325,0.0075,0,0,0.11,0.03,0,0,0.3175,-0.45
