ID_1,Date de l'enquête,Mode d'enquête,Comment se porte votre entreprise ou business actuellement ?,L’entreprise vous permet -elle de gagner assez d’argent pour subvenir à vos besoins et à celle de votre famille ?,Avez-vous déjà planifié de migrer de nouveau ?,Si vous n’aviez pas bénéficié de l’aide de l’OIM pour votre réintégration économique quelle serait votre situation actuelle ?,Pensez-vous que le retour a été une bonne décision ?,Êtes-vous satisfait de l’aide à la réintégration de manière globale ?,Pays,Pays d’où le migrant est de retour :,Sexe,Age (l'enquête est destinée aux personnes agées de 14 ans et plus),Durée de l’absence du pays d’origine   Mettre 0 si moins d'un an,Situation de handicap,Par quel moyen avez-vous reçu cette assistance économique ?,Type de business bis,Qui sont les membres de cette entreprise ?,L'OIM   ou un de ses partenaires vous a-t-elle formé sur la façon de gérer une entreprise ?,L’entreprise emploie-t-elle du personnel ?,"Si oui, combien des personnes sont employées par votre entreprise ?",Est-ce votre entreprise a été affectée par la maladie de Coronavirus ?,Est-ce que le type d'assistance économique que vous avez reçu correspondait à votre premier choix ?,Niveau microbusiness,Type de formation,Duree formation,ArrivalDate_Mimosa,Date de reception de la reintegration,Gender_Mimosa,AgeAtReferral_Mimosa
NA,2021-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Masculin,18-35 ans,1,Non,En nature,Commerce,Moi avec des migrants de retour,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-17,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Mieux,Oui,Satisfait,Ghana,Lybie,Masculin,18-35 ans,4,Non,En nature,Elevage,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NE1019X071222,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui irrégulièrement,Pire,Oui,OK,Tchad,Niger,Féminin,18-35 ans,24,Non,En nature,Commerce,Moi et membres de la communauté,Non,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2019-11-18T00:00:00Z,2020-03-04T00:00:00Z,Female,29
NE1019X071222,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui irrégulièrement,Pire,Oui,OK,Tchad,Niger,Féminin,18-35 ans,24,Non,En nature,Commerce,Moi et membres de la communauté,Non,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2019-11-18T00:00:00Z,2020-03-04T00:00:00Z,Female,0
NE1019X071222,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui irrégulièrement,Pire,Oui,OK,Tchad,Niger,Féminin,18-35 ans,24,Non,En nature,Commerce,Moi et membres de la communauté,Non,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2019-11-18T00:00:00Z,2020-03-04T00:00:00Z,Female,3
NE1019002484,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Oui irrégulièrement,Pire,Partiellement,Satisfait,Tchad,Mali,Féminin,18-35 ans,40,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2019-09-19T00:00:00Z,2019-12-16T00:00:00Z,Female,25
NE1019002484,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Oui irrégulièrement,Pire,Partiellement,Satisfait,Tchad,Mali,Féminin,18-35 ans,40,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2019-09-19T00:00:00Z,2019-12-16T00:00:00Z,Male,5
NE1019002484,2021-07-07,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Oui irrégulièrement,Pire,Partiellement,Satisfait,Tchad,Mali,Féminin,18-35 ans,40,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2019-09-19T00:00:00Z,2019-12-16T00:00:00Z,Male,8
NA,2021-07-22,Sur le terrain (lieu de travail ou d’habitation du migrant…),Mon entreprise n’est pas encore ouverte,Partiellement,Non,Pire,Oui,Très satisfait,Burkina Faso,Algerie,Masculin,18-35 ans,0,Non,Mixte,Elevage,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-06,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
