"MimosaID","Project","InterviewDate","ReintegrationDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TrainingStart","TrainingEnd","TimeToReceiveSupport","ReceivedSupportAs","BusinessType","BusinessMembers","MicroBusinessLevel","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","SupportDuration","TrainingDuration"
"NE1019X076341","JI","2021/10/04 00:00:00","2020/08/05 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","14-35",2,"Non","None",NA,NA,52,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Non","Oui",425,0
"TD1021001236","JI","2021/10/04 00:00:00","2021/08/13 00:00:00","Par téléphone","Low","High","No","Pire","Non","Très satisfait","Sénégal","Autre","Masculin","36+",2,"Non","None",NA,NA,8,"En nature","Autre","Moi uniquement","Individual","Non","Non","0","Oui","Oui",52,0
"MA1018002317","JI","2021/10/04 00:00:00","2019/09/21 00:00:00","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Business/management","2021/10/21 00:00:00","2021/10/21 00:00:00",32,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",744,0
"CH5018X029101","JI","2021/10/04 00:00:00","2017/01/01 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Lybie","Masculin","36+",3,"Non","None",NA,NA,144,"En nature","Commerce","Moi uniquement","Individual","Non","Autre","1+","Non","Oui",120,0
"MA1018002361","JI","2021/10/04 00:00:00","2019/10/09 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","None",NA,NA,8,"En nature","Autre","Moi uniquement","Individual","Oui","Autre","1+","Oui","Oui",726,0
"NE1020X012510","JI","2021/10/04 00:00:00","2021/03/13 00:00:00","Par téléphone","High","High","No","Identique","Oui","Satisfait","Sénégal","Algerie","Masculin","14-35",3,"Non","None",NA,NA,54,"En nature","Agriculture/aviculture","Moi et d'autres","Not individual","Non","Autre","1","Oui","Oui",205,0
"MA1018002404","JI","2021/10/04 00:00:00","2019/10/10 00:00:00","Par téléphone","Low","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","36+",0,"Non","None",NA,NA,12,"En nature","Elevage","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",725,0
"NE1019X038165","JI","2021/10/04 00:00:00","2019/11/18 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",2,"Non","None",NA,NA,16,"En nature","Elevage","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",686,0
"SN1019001297","JI","2021/10/04 00:00:00","2020/08/08 00:00:00","Par téléphone","Low","High","No","Pire","Oui","Très satisfait","Sénégal","Autre","Féminin","36+",2,"Non","None",NA,NA,16,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Non","Oui",422,0
"NE1019X035361","JI","2021/10/04 00:00:00","2020/01/29 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","36+",14,"Non","None",NA,NA,16,"En nature","Elevage","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",614,0
"TD1021001248","JI","2021/10/04 00:00:00","2021/08/06 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","14-35",10,"Non","None",NA,NA,8,"En nature","Autre","Moi uniquement","Individual","Non","Non","0","Oui","Oui",59,0
"NE1019X037908","JI","2021/10/04 00:00:00","2020/09/21 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",3,"Non","Business/management","2021/04/02 00:00:00","2021/04/02 00:00:00",12,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",378,0
"MR1021001417","JI","2021/10/04 00:00:00","2021/08/25 00:00:00","Par téléphone","Low","High","No","Pire","Oui","Très satisfait","Sénégal","Autre","Féminin","14-35",0,"Non","None",NA,NA,4,"En nature","Transport","Moi uniquement","Individual","Oui","Non","0","Non","Oui",40,0
"NE1019X024385","JI","2021/10/04 00:00:00","2020/08/23 00:00:00","Par téléphone","Low","Low","No","Pire","Partiellement","Satisfait","Sénégal","Algerie","Masculin","14-35",3,"Non","None",NA,NA,12,"En nature","Autre","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",407,0
